statefips,age,hrslastwk,unempwks,wagehr,earnwk,ownchild,educ,gender,metro,race,hispanic,marstatus,lfstatus,ottipcomm,hourly,unionstatus
NE,32,40,NA,16.5,684.75,0,12,Male,Metro,White,Non-hispanic,Never married,Employed,Yes,Hourly,Non-union
PA,42,40,NA,NA,769,2,12,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
IL,56,NA,NA,NA,NA,0,14,Female,Metro,Black,Non-hispanic,Never married,Not in LF,NA,NA,NA
GA,37,40,NA,NA,865.38,3,13,Female,Metro,White,Hispanic,Married,Employed,No,Non-hourly,Non-union
HI,54,24,NA,NA,653,0,12,Male,Metro,Black,Non-hispanic,Married,Employed,Yes,Non-hourly,Non-union
VA,38,NA,NA,NA,NA,3,5.5,Female,Metro,White,Hispanic,Married,Not in LF,NA,NA,NA
MT,35,40,NA,12,480,0,15,Female,Metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
KY,57,NA,NA,NA,NA,0,12,Female,Non-metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
FL,35,40,NA,27,1080,1,12,Female,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
UT,46,NA,NA,NA,NA,0,15,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
CA,31,NA,NA,NA,NA,2,12,Male,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
NJ,53,NA,NA,NA,NA,0,13,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
TN,34,NA,NA,NA,NA,1,12,Female,Non-metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
IL,30,40,NA,15,600,0,12,Female,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
WA,43,40,NA,NA,923.07,1,5.5,Male,Metro,White,Hispanic,Married,Employed,No,Non-hourly,Non-union
TX,42,18,NA,9,162,4,12,Female,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
NJ,46,40,NA,16,640,0,12,Male,Metro,White,Non-hispanic,Divorced,Employed,No,Hourly,Union
FL,43,NA,NA,NA,NA,4,12,Male,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
DE,56,40,NA,22,880,0,12,Male,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
MO,58,NA,NA,NA,NA,0,12,Female,Metro,Other,Non-hispanic,Married,Not in LF,NA,NA,NA
NC,32,45,NA,18,810,0,7.5,Male,Metro,White,Hispanic,Never married,Employed,No,Hourly,Non-union
NY,51,38,NA,11.1,421.8,2,12,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Union
TN,42,NA,NA,NA,NA,0,9,Female,Metro,White,Hispanic,Divorced,Not in LF,NA,NA,NA
FL,48,NA,NA,NA,NA,0,14,Female,Metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
NC,52,NA,4,NA,NA,1,2.5,Male,Metro,White,Hispanic,Married,Unemployed,NA,NA,NA
KS,32,NA,39,NA,NA,0,11,Male,Metro,Other,Non-hispanic,Married,Unemployed,NA,NA,NA
CO,33,40,NA,NA,1019.23,1,14,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
CA,30,40,NA,12,480,0,12,Male,Metro,White,Hispanic,Never married,Employed,No,Hourly,Non-union
NY,57,12,NA,15,377.77,0,12,Female,Metro,Black,Non-hispanic,Never married,Employed,No,Hourly,Union
GA,54,36,NA,9.18,367.2,0,14,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
MS,33,40,NA,16.4,929,2,14,Male,Non-metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Non-union
PA,50,NA,NA,NA,NA,0,15,Male,Metro,White,Non-hispanic,Never married,Not in LF,NA,NA,NA
PA,43,40,NA,12,480,0,11,Male,Metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
WV,59,NA,NA,NA,NA,0,11,Male,Non-metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
VA,52,40,NA,16,807.69,0,11,Male,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
CA,55,NA,NA,NA,NA,0,0,Female,Metro,White,Non-hispanic,Never married,Not in LF,NA,NA,NA
AR,53,40,NA,16,640,1,12,Male,Metro,Black,Non-hispanic,Married,Employed,No,Hourly,Non-union
NY,35,30,NA,22,660,2,11,Male,Metro,Black,Non-hispanic,Never married,Employed,No,Hourly,Non-union
NE,56,NA,NA,NA,NA,0,14,Male,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
IL,30,29,NA,16,560,0,11,Female,Metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
IN,52,40,NA,19.5,780.19,0,12,Female,Non-metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Non-union
VT,34,53,NA,17,550,0,12,Female,Non-metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
CA,55,NA,NA,NA,NA,0,14,Female,Metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
NC,59,45,NA,10,450,0,2.5,Male,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
NY,44,48,NA,16.75,780,1,16,Male,Metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Union
WV,46,45,NA,18,720,0,12,Male,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Union
OH,58,NA,NA,NA,NA,0,14,Male,Metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
LA,33,NA,NA,NA,NA,0,10,Female,Metro,White,Non-hispanic,Never married,Not in LF,NA,NA,NA
LA,43,40,NA,15,600,2,12,Female,Non-metro,Black,Non-hispanic,Married,Employed,Yes,Hourly,Non-union
AR,30,40,NA,14,560,2,12,Female,Metro,Black,Non-hispanic,Never married,Employed,No,Hourly,Non-union
TX,39,40,NA,29,1295,1,11,Male,Metro,White,Hispanic,Married,Employed,Yes,Hourly,Non-union
MI,34,60,NA,20,1100,1,12,Male,Metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Non-union
NM,54,21,NA,NA,692.3,1,14,Female,Non-metro,White,Hispanic,Married,Employed,No,Non-hourly,Non-union
TX,30,NA,NA,NA,NA,0,12,Male,Metro,Other,Non-hispanic,Never married,Not in LF,NA,NA,NA
CA,53,40,NA,21.25,850,0,11,Male,Metro,White,Hispanic,Married,Employed,No,Hourly,Union
OH,55,NA,NA,NA,NA,0,12,Female,Metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
VA,55,40,NA,NA,1634.61,0,14,Male,Metro,White,Non-hispanic,Divorced,Employed,No,Non-hourly,Non-union
PA,56,20,NA,16,320,0,12,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
TX,36,40,NA,25,961.53,2,16,Male,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
DC,57,40,NA,7.5,300,0,12,Female,Metro,Black,Non-hispanic,Married,Employed,No,Hourly,Non-union
CA,52,40,NA,19,800,0,5.5,Male,Metro,White,Hispanic,Married,Employed,No,Hourly,Union
LA,59,42,NA,NA,2692.3,1,15,Male,Metro,White,Non-hispanic,Married,Employed,Yes,Non-hourly,Non-union
WA,44,40,NA,15,600,0,11,Female,Metro,White,Non-hispanic,Never married,Employed,Yes,Hourly,Union
GA,44,NA,NA,NA,NA,0,11,Female,Metro,Black,Non-hispanic,Divorced,Not in LF,NA,NA,NA
NV,50,NA,NA,NA,NA,0,13,Female,Metro,White,Non-hispanic,Never married,Not in LF,NA,NA,NA
MI,52,NA,NA,NA,NA,1,14,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
FL,52,40,NA,12.5,500,0,13,Female,Metro,White,Hispanic,Divorced,Employed,No,Hourly,Non-union
IL,41,40,NA,NA,900,3,14,Female,Metro,Black,Non-hispanic,Divorced,Employed,No,Non-hourly,Non-union
ND,50,60,NA,NA,1153.84,3,14,Male,Non-metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
TX,42,35,NA,12.12,410,1,14,Female,Metro,White,Hispanic,Widowed,Employed,No,Hourly,Non-union
TX,32,NA,NA,NA,NA,0,2.5,Male,Metro,White,Hispanic,Never married,Not in LF,NA,NA,NA
WA,57,45,NA,NA,1480.76,0,12,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
AR,35,NA,NA,NA,NA,2,9,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
NC,32,53,NA,17,850,0,15,Male,Metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
NH,45,40,NA,90,3060.5,2,16,Male,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
DE,58,38,NA,NA,942.3,0,12,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
HI,52,32,NA,NA,507.69,1,12,Female,Metro,Other,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
PA,36,40,NA,NA,884.61,2,14,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
OH,50,38,NA,NA,1153.84,0,16,Female,Metro,Other,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
PA,41,NA,NA,NA,NA,1,14,Female,Metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
SD,50,40,NA,11,440,0,12,Female,Non-metro,Other,Non-hispanic,Widowed,Employed,No,Hourly,Non-union
KS,58,47,NA,10.25,358.75,0,12,Female,Non-metro,Other,Non-hispanic,Never married,Employed,Yes,Hourly,Non-union
MT,55,NA,NA,NA,NA,0,12,Male,Non-metro,White,Non-hispanic,Never married,Not in LF,NA,NA,NA
NV,43,40,NA,23,1153.84,1,12,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
LA,32,40,NA,21,840,1,9,Male,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
AL,48,NA,NA,NA,NA,0,12,Female,Non-metro,Black,Non-hispanic,Married,Not in LF,NA,NA,NA
MI,44,40,NA,28.5,800,1,13,Male,Metro,White,Non-hispanic,Never married,Employed,Yes,Hourly,Union
WA,59,NA,NA,NA,NA,0,12,Female,Metro,Other,Non-hispanic,Married,Not in LF,NA,NA,NA
OR,40,22,NA,15,300,1,12,Female,Metro,White,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
DC,43,50,NA,NA,8779.73,0,18,Female,Metro,White,Non-hispanic,Never married,Employed,No,Non-hourly,Non-union
NY,59,NA,NA,NA,NA,0,14,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
OH,50,40,NA,19,769,0,10,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
NC,46,64,NA,31.5,1260,0,12,Male,Metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Non-union
CA,41,32,NA,15,600,0,12,Female,Metro,White,Hispanic,Divorced,Employed,No,Hourly,Non-union
AR,59,40,NA,16,640,0,12,Male,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Union
IN,50,40,NA,15,600,0,12,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
WA,46,40,NA,NA,1040.38,0,13,Male,Metro,White,Non-hispanic,Never married,Employed,No,Non-hourly,Non-union
WA,43,40,NA,10.49,1038,3,10,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
NV,30,NA,NA,NA,NA,0,12,Female,Metro,White,Hispanic,Never married,Not in LF,NA,NA,NA
OR,32,35,NA,18,630,2,12,Male,Metro,Other,Non-hispanic,Married,Employed,No,Hourly,Non-union
LA,43,NA,NA,NA,NA,0,14,Male,Metro,Black,Non-hispanic,Divorced,Not in LF,NA,NA,NA
PA,49,40,NA,14,560,0,11,Male,Metro,Other,Hispanic,Divorced,Employed,No,Hourly,Non-union
TN,31,40,NA,16.95,678,2,2.5,Male,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
PA,34,40,NA,NA,1211,1,18,Female,Metro,Other,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
MN,47,34,NA,18.5,555,0,14,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
NY,44,60,NA,NA,1100,0,15,Male,Metro,Other,Non-hispanic,Never married,Employed,Yes,Non-hourly,Non-union
NE,39,NA,NA,NA,NA,4,7.5,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
IA,42,40,NA,10,400,0,10,Male,Metro,Black,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
FL,49,40,NA,13.58,543.2,0,14,Female,Metro,White,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
PA,37,46,NA,16,960,3,14,Female,Metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
TX,56,NA,NA,NA,NA,0,12,Female,Metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
WV,52,NA,NA,NA,NA,0,12,Male,Metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
GA,44,72,NA,16.59,403.84,1,15,Female,Metro,Black,Non-hispanic,Married,Employed,No,Hourly,Non-union
CA,44,32,NA,12.6,153.84,2,13,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
WY,53,40,NA,35,1400,0,12,Male,Non-metro,White,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
OH,37,45,NA,NA,1000,2,14,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
TX,59,24,NA,25,1000,0,14,Female,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
WA,50,30,NA,NA,1100,0,12,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
LA,32,40,NA,NA,1423.07,3,13,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
KY,48,32,NA,7.25,232,0,9,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
IL,30,NA,NA,NA,NA,1,14,Female,Metro,Black,Non-hispanic,Married,Not in LF,NA,NA,NA
WA,32,40,NA,NA,800,0,13,Male,Metro,White,Non-hispanic,Never married,Employed,No,Non-hourly,Non-union
TX,35,25,NA,18,360,3,14,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
WV,35,60,NA,NA,2919.49,2,12,Male,Non-metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
MN,56,NA,NA,NA,NA,0,12,Male,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
FL,32,40,NA,13,520,0,16,Male,Metro,White,Hispanic,Divorced,Employed,No,Hourly,Non-union
WI,51,40,NA,19,760,0,13,Male,Metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
AZ,56,40,NA,NA,1442.3,0,13,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
FL,35,35,NA,9,315,3,15,Female,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
NC,50,45,NA,NA,1576.92,0,13,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
IN,48,48,NA,NA,1057.69,0,12,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Union
WA,31,NA,NA,NA,NA,2,13,Female,Metro,Black,Non-hispanic,Never married,Not in LF,NA,NA,NA
NY,30,NA,NA,NA,NA,1,15,Female,Metro,White,Hispanic,Married,Not in LF,NA,NA,NA
MS,54,56,NA,NA,807,1,12,Male,Non-metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
NE,33,NA,1,NA,NA,2,0,Male,Metro,White,Hispanic,Married,Unemployed,NA,NA,NA
ID,30,40,NA,NA,1200,2,13,Male,Non-metro,White,Hispanic,Married,Employed,No,Non-hourly,Non-union
MT,51,NA,NA,NA,NA,0,13,Female,Non-metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
GA,48,44,NA,32.14,1285.6,0,13,Male,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Union
TN,53,40,NA,NA,500,0,14,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
CT,30,40,NA,23,920,1,12,Female,Metro,Other,Hispanic,Married,Employed,No,Hourly,Non-union
CA,59,40,NA,NA,1346.15,0,16,Male,Metro,White,Non-hispanic,Never married,Employed,No,Non-hourly,Non-union
TX,34,NA,NA,NA,NA,0,14,Male,Metro,White,Hispanic,Never married,Not in LF,NA,NA,NA
AZ,36,NA,NA,NA,NA,2,11,Female,Metro,White,Hispanic,Married,Not in LF,NA,NA,NA
PA,53,NA,NA,NA,NA,0,12,Male,Metro,White,Non-hispanic,Never married,Not in LF,NA,NA,NA
TX,47,40,NA,NA,1538.46,1,14,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
FL,30,40,NA,12.8,512,0,12,Male,Metro,White,Hispanic,Divorced,Employed,No,Hourly,Non-union
SC,31,NA,NA,NA,NA,3,14,Female,Non-metro,White,Non-hispanic,Never married,Not in LF,NA,NA,NA
WA,55,20,NA,17.23,344.6,0,15,Male,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
NE,55,NA,NA,NA,NA,0,9,Male,Non-metro,White,Hispanic,Divorced,Not in LF,NA,NA,NA
NY,54,40,NA,31.5,2500,0,12,Male,Metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Union
AR,49,40,NA,11,440,0,12,Male,Metro,Black,Non-hispanic,Married,Employed,No,Hourly,Non-union
ND,48,40,NA,NA,673.07,2,14,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Union
NY,55,40,NA,NA,1307.69,0,14,Male,Metro,Black,Non-hispanic,Married,Employed,No,Non-hourly,Union
SD,55,45,NA,20,950,0,14,Male,Non-metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Non-union
PA,46,45,NA,NA,1923.07,2,18,Male,Metro,White,Non-hispanic,Divorced,Employed,No,Non-hourly,Non-union
MN,48,32,NA,24.92,996.8,2,12,Male,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Union
CA,49,40,NA,22.4,896,0,12,Female,Metro,White,Hispanic,Married,Employed,No,Hourly,Union
CA,56,40,NA,NA,4306.95,0,12,Male,Metro,White,Hispanic,Never married,Employed,No,Non-hourly,Union
GA,47,42,NA,19.45,817.3,0,14,Male,Metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
FL,36,NA,NA,NA,NA,2,13,Female,Metro,Black,Non-hispanic,Married,Not in LF,NA,NA,NA
MI,52,25,NA,20,500,1,15,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
LA,46,40,NA,15.2,645,0,15,Female,Non-metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Union
NY,59,NA,NA,NA,NA,0,14,Male,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
TX,51,NA,NA,NA,NA,0,12,Female,Metro,White,Hispanic,Married,Not in LF,NA,NA,NA
WY,40,55,NA,18.5,2164.5,4,12,Male,Metro,White,Hispanic,Married,Employed,Yes,Hourly,Non-union
NV,59,40,NA,21,840,0,12,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
DE,41,40,NA,11.5,460,1,12,Female,Metro,Other,Non-hispanic,Married,Employed,No,Hourly,Non-union
MO,52,NA,NA,NA,NA,0,10,Male,Non-metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
NC,57,NA,NA,NA,NA,0,14,Female,Metro,Black,Non-hispanic,Widowed,Not in LF,NA,NA,NA
NC,31,50,NA,21,840,3,14,Male,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
KY,52,48,NA,13.95,558,1,12,Female,Metro,Other,Non-hispanic,Married,Employed,No,Hourly,Non-union
MD,47,NA,NA,NA,NA,1,12,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
KY,55,NA,NA,NA,NA,0,14,Female,Non-metro,White,Non-hispanic,Widowed,Not in LF,NA,NA,NA
TX,46,40,NA,NA,700,0,14,Male,Metro,White,Hispanic,Divorced,Employed,No,Non-hourly,Non-union
VA,30,NA,NA,NA,NA,0,14,Male,Non-metro,Black,Non-hispanic,Divorced,Not in LF,NA,NA,NA
MT,52,8,NA,22,770,0,14,Female,Non-metro,White,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
IN,57,NA,NA,NA,NA,0,13,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
OK,59,40,NA,NA,1153.84,0,13,Female,Metro,White,Non-hispanic,Never married,Employed,No,Non-hourly,Non-union
MD,58,NA,NA,NA,NA,0,12,Female,Non-metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
TX,51,35,NA,8,280,1,9,Female,Metro,White,Hispanic,Married,Employed,No,Hourly,Non-union
OH,46,32,NA,NA,2121.46,0,13,Male,Non-metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
OR,48,40,NA,15.55,668,0,10,Male,Metro,White,Non-hispanic,Divorced,Employed,Yes,Hourly,Non-union
KY,43,32,NA,30,1400,2,14,Male,Non-metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Non-union
KS,51,40,NA,21,840,0,12,Male,Metro,White,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
WA,45,32,NA,18.5,740,2,13,Female,Metro,Other,Non-hispanic,Married,Employed,No,Hourly,Non-union
TN,57,NA,NA,NA,NA,0,12,Female,Metro,White,Hispanic,Never married,Not in LF,NA,NA,NA
WA,40,40,NA,NA,600,0,14,Female,Metro,White,Non-hispanic,Never married,Employed,No,Non-hourly,Non-union
WV,59,46,NA,16.35,654,0,12,Female,Non-metro,White,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
FL,48,36,NA,22,792,0,12,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
AZ,44,40,NA,NA,3438.29,2,18,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
RI,36,NA,8,NA,NA,1,14,Female,Metro,White,Non-hispanic,Never married,Unemployed,NA,NA,NA
ND,56,NA,4,NA,NA,0,12,Female,Metro,White,Non-hispanic,Married,Unemployed,NA,NA,NA
NV,40,40,NA,27.25,1090,3,12,Male,Metro,White,Hispanic,Married,Employed,Yes,Hourly,Non-union
OH,57,42,NA,11.5,530,0,13,Female,Non-metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Union
AR,43,30,NA,9,360,0,12,Male,Metro,Black,Non-hispanic,Married,Employed,No,Hourly,Non-union
MI,48,32,NA,NA,2788,0,12,Male,Non-metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
TX,35,21,NA,2.5,57.5,3,10,Female,Metro,White,Hispanic,Never married,Employed,Yes,Hourly,Non-union
NJ,47,40,NA,14,560,0,12,Female,Metro,Black,Hispanic,Divorced,Employed,No,Hourly,Union
CO,35,40,NA,NA,1634.61,0,18,Female,Metro,White,Non-hispanic,Never married,Employed,No,Non-hourly,Non-union
IL,42,16,NA,13,208,0,12,Male,Metro,White,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
RI,53,32,NA,21.65,866,2,12,Male,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
TX,55,40,NA,15,820,0,2.5,Male,Metro,White,Hispanic,Married,Employed,Yes,Hourly,Non-union
NC,57,NA,NA,NA,NA,0,14,Female,Metro,White,Non-hispanic,Widowed,Not in LF,NA,NA,NA
CA,45,NA,NA,NA,NA,0,11,Female,Metro,Black,Non-hispanic,Never married,Not in LF,NA,NA,NA
NV,44,40,NA,14,560,0,13,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
FL,34,40,NA,NA,576.92,1,12,Male,Metro,White,Hispanic,Married,Employed,No,Non-hourly,Non-union
SC,55,40,NA,NA,1115,0,13,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
MI,46,NA,NA,NA,NA,0,12,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
GA,32,NA,NA,NA,NA,2,15,Male,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
LA,50,NA,NA,NA,NA,0,15,Female,Non-metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
ID,45,40,NA,NA,461.53,0,13,Female,Non-metro,White,Hispanic,Married,Employed,No,Non-hourly,Non-union
DC,44,39,NA,NA,5929.13,0,18,Male,Metro,White,Non-hispanic,Never married,Employed,No,Non-hourly,Non-union
AZ,42,NA,NA,NA,NA,0,14,Male,Metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
CA,38,NA,NA,NA,NA,7,11,Male,Metro,White,Hispanic,Married,Not in LF,NA,NA,NA
CA,42,NA,NA,NA,NA,2,12,Female,Metro,White,Hispanic,Married,Not in LF,NA,NA,NA
IL,39,NA,NA,NA,NA,0,12,Female,Metro,White,Hispanic,Never married,Not in LF,NA,NA,NA
NJ,58,NA,NA,NA,NA,0,14,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
OH,46,40,NA,31.7,1346.15,2,16,Male,Metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Union
GA,51,45,NA,12,480,0,14,Male,Non-metro,Black,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
MD,36,40,NA,NA,1200,0,12,Male,Metro,Other,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
AL,59,NA,NA,NA,NA,0,12,Male,Metro,White,Non-hispanic,Widowed,Not in LF,NA,NA,NA
CA,56,60,NA,NA,2000,0,14,Female,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
ND,52,35,NA,9.75,341.25,3,12,Female,Non-metro,Other,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
NC,32,30,NA,11,350,3,10,Female,Metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
GA,55,40,NA,NA,600,0,12,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
NY,32,NA,NA,NA,NA,0,12,Male,Metro,White,Non-hispanic,Never married,Not in LF,NA,NA,NA
MI,58,50,NA,21,1305.65,0,11,Male,Non-metro,White,Non-hispanic,Married,Employed,Yes,Hourly,Union
NV,51,NA,NA,NA,NA,0,13,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
NM,57,NA,NA,NA,NA,0,12,Female,Metro,White,Hispanic,Never married,Not in LF,NA,NA,NA
RI,55,15,NA,10.1,115.38,0,12,Male,Metro,White,Non-hispanic,Never married,Employed,No,Hourly,Non-union
FL,47,38,NA,20.83,980.76,0,14,Male,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
AR,39,48,NA,10.5,504,0,12,Female,Metro,Black,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
WA,59,NA,NA,NA,NA,0,10,Female,Metro,White,Non-hispanic,Divorced,Not in LF,NA,NA,NA
PA,52,NA,NA,NA,NA,3,9,Female,Metro,White,Non-hispanic,Married,Not in LF,NA,NA,NA
DE,30,NA,NA,NA,NA,0,12,Male,Metro,White,Non-hispanic,Never married,Not in LF,NA,NA,NA
MD,52,15,NA,10.15,156.5,1,12,Female,Metro,Black,Non-hispanic,Widowed,Employed,No,Hourly,Non-union
WV,55,40,NA,23.11,921.05,0,14,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Union
FL,51,40,NA,17,680,0,14,Female,Metro,White,Non-hispanic,Married,Employed,No,Hourly,Non-union
TN,58,56,NA,16,896,0,14,Male,Metro,White,Non-hispanic,Divorced,Employed,No,Hourly,Non-union
WV,53,36,NA,9.26,333.36,0,12,Female,Non-metro,White,Non-hispanic,Married,Employed,No,Hourly,Union
IL,40,NA,NA,NA,NA,3,12,Male,Metro,Black,Non-hispanic,Married,Not in LF,NA,NA,NA
IL,59,40,NA,12.45,498,0,14,Male,Metro,White,Non-hispanic,Never married,Employed,No,Hourly,Union
MS,51,55,NA,NA,800,0,14,Male,Metro,White,Non-hispanic,Married,Employed,No,Non-hourly,Non-union
